Date,CPI,Unemployment,10Y_Treasury,FedFundsRate,IP_Index,GDP_Growth,Inflation,Lending_Rate
2010-01-31,217.488,9.8,3.73,0.11,89.1897,4.09791791930137,-0.728243207517779,1.59833333333333
2010-02-28,217.281,9.8,3.69,0.13,89.5046,4.09791791930137,-0.728243207517779,1.59833333333333
2010-03-31,217.353,9.9,3.73,0.16,90.1356,4.09791791930137,-0.728243207517779,1.59833333333333
2010-04-30,217.403,9.9,3.85,0.2,90.4607,4.09791791930137,-0.728243207517779,1.59833333333333
2010-05-31,217.29,9.6,3.42,0.2,91.7014,4.09791791930137,-0.728243207517779,1.59833333333333
2010-06-30,217.199,9.4,3.2,0.18,91.9033,4.09791791930137,-0.728243207517779,1.59833333333333
2010-07-31,217.605,9.4,3.01,0.18,92.2549,4.09791791930137,-0.728243207517779,1.59833333333333
2010-08-31,217.923,9.5,2.7,0.19,92.5936,4.09791791930137,-0.728243207517779,1.59833333333333
2010-09-30,218.275,9.5,2.65,0.19,92.8533,4.09791791930137,-0.728243207517779,1.59833333333333
2010-10-31,219.035,9.4,2.54,0.19,92.6033,4.09791791930137,-0.728243207517779,1.59833333333333
2010-11-30,219.59,9.8,2.76,0.19,92.6686,4.09791791930137,-0.728243207517779,1.59833333333333
2010-12-31,220.472,9.3,3.29,0.18,93.5916,4.09791791930137,-0.728243207517779,1.59833333333333
2011-01-31,221.187,9.1,3.39,0.17,93.3889,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-02-28,221.898,9.0,3.58,0.16,93.0045,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-03-31,223.046,9.0,3.41,0.14,93.9684,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-04-30,224.093,9.1,3.46,0.1,93.6571,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-05-31,224.806,9.0,3.17,0.09,93.7723,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-06-30,224.806,9.1,3.0,0.09,94.0493,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-07-31,225.395,9.0,3.0,0.07,94.4958,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-08-31,226.106,9.0,2.3,0.1,95.0974,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-09-30,226.597,9.0,1.98,0.08,95.0244,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-10-31,226.75,8.8,2.15,0.07,95.6891,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-11-30,227.169,8.6,2.01,0.08,95.6778,0.0238095237748297,-0.27245561610124,1.50091666666667
2011-12-31,227.223,8.5,1.98,0.07,96.1809,0.0238095237748297,-0.27245561610124,1.50091666666667
2012-01-31,227.842,8.3,1.97,0.08,96.7595,1.37475099920874,-0.0440645104432602,1.4075
2012-02-29,228.329,8.3,1.97,0.1,97.0662,1.37475099920874,-0.0440645104432602,1.4075
2012-03-31,228.807,8.2,2.17,0.13,96.5609,1.37475099920874,-0.0440645104432602,1.4075
2012-04-30,229.187,8.2,2.05,0.14,97.251,1.37475099920874,-0.0440645104432602,1.4075
2012-05-31,228.713,8.2,1.8,0.16,97.4595,1.37475099920874,-0.0440645104432602,1.4075
2012-06-30,228.524,8.2,1.62,0.16,97.4768,1.37475099920874,-0.0440645104432602,1.4075
2012-07-31,228.59,8.2,1.53,0.16,97.6714,1.37475099920874,-0.0440645104432602,1.4075
2012-08-31,229.918,8.1,1.68,0.13,97.2734,1.37475099920874,-0.0440645104432602,1.4075
2012-09-30,231.015,7.8,1.72,0.14,97.2217,1.37475099920874,-0.0440645104432602,1.4075
2012-10-31,231.638,7.8,1.75,0.16,97.5311,1.37475099920874,-0.0440645104432602,1.4075
2012-11-30,231.249,7.7,1.65,0.16,97.9084,1.37475099920874,-0.0440645104432602,1.4075
2012-12-31,231.221,7.9,1.72,0.16,98.1884,1.37475099920874,-0.0440645104432602,1.4075
2013-01-31,231.679,8.0,1.91,0.14,98.1736,2.0051001767726,0.335037912184741,1.30375
2013-02-28,232.937,7.7,1.98,0.15,98.6434,2.0051001767726,0.335037912184741,1.30375
2013-03-31,232.282,7.5,1.96,0.14,99.047,2.0051001767726,0.335037912184741,1.30375
2013-04-30,231.797,7.6,1.76,0.15,98.9445,2.0051001767726,0.335037912184741,1.30375
2013-05-31,231.893,7.5,1.93,0.11,99.0383,2.0051001767726,0.335037912184741,1.30375
2013-06-30,232.445,7.5,2.3,0.09,99.2221,2.0051001767726,0.335037912184741,1.30375
2013-07-31,232.9,7.3,2.58,0.09,98.8987,2.0051001767726,0.335037912184741,1.30375
